id,url,finalURL,status,contentType,lastModified,bytes,sha256,capturedAt,attempts,claimUse,stableReplacement,rightsStatus,accessibilityStatus,republishStatus,archiveObject,error,pdfMetadataExtractor,pdfMetadataExtractorVersion,pdfPageCount,pdfTitle,pdfAuthor,pdfCreationDate,pdfModificationDate,pdfMetadataExtractionError
"legacy-home","https://www.helpprogram.net/","https://www.helpprogram.net/","200","text/html","Thu, 20 Jun 2024 19:48:24 GMT","15001","39e056f287ad25a4cc776beb20e823ac4a1a7d6b831daeb6f0c40c57cf734d90","2026-07-21T09:44:47.852Z","1","Historical Grades 3–8 program self-description | Conflicting historical federal-support percentage wording","","pending","pending","pending","objects/sha256/39/39e056f287ad25a4cc776beb20e823ac4a1a7d6b831daeb6f0c40c57cf734d90","","","","","","","","",""
"legacy-program-info","https://www.helpprogram.net/ProgramInfo.htm","https://www.helpprogram.net/ProgramInfo.htm","200","text/html","Thu, 20 Jun 2024 19:48:31 GMT","28094","93be899af10e464486cb07df57a94d0ff64a6cd970b6187489b376bf2a6e61cc","2026-07-21T09:44:47.874Z","1","Historical Grades 3–8 scope and 73-lesson catalog | Historical learner supports and educator tools | Conflicting historical federal-support percentage wording","","pending","pending","pending","objects/sha256/93/93be899af10e464486cb07df57a94d0ff64a6cd970b6187489b376bf2a6e61cc","","","","","","","","",""
"legacy-awards","https://www.helpprogram.net/Awards.htm","https://www.helpprogram.net/Awards.htm","200","text/html","Thu, 20 Jun 2024 19:48:13 GMT","10153","cff7ca582421b56af4ef756f902df78121c2ba1554c4f3d7bb68cdd5c3cddaa1","2026-07-21T09:44:48.124Z","1","Historical award wording | Conflicting historical federal-support percentage wording","","pending","pending","pending","objects/sha256/cf/cff7ca582421b56af4ef756f902df78121c2ba1554c4f3d7bb68cdd5c3cddaa1","","","","","","","","",""
"legacy-contact","https://www.helpprogram.net/Contact.htm","https://www.helpprogram.net/Contact.htm","200","text/html","Thu, 20 Jun 2024 19:48:13 GMT","6161","42e4fdb0df32479189f40a68c53cdaad6c5d63a59b1c3a80180c4cc13b7d0c31","2026-07-21T09:44:48.133Z","1","Historical operator identity evidence before DNS cutover","","pending","pending","pending","objects/sha256/42/42e4fdb0df32479189f40a68c53cdaad6c5d63a59b1c3a80180c4cc13b7d0c31","","","","","","","","",""
"legacy-login","https://www.helpprogram.net/Login.htm","https://www.helpprogram.net/Login.htm","200","text/html","Thu, 20 Jun 2024 19:48:28 GMT","6163","73a685db57c31819868b020b08d820ae0f3555797f11bf2711784e9ee070ce4e","2026-07-21T09:44:48.393Z","1","Historical account-service boundary and operator evidence before DNS cutover","","pending","pending","pending","objects/sha256/73/73a685db57c31819868b020b08d820ae0f3555797f11bf2711784e9ee070ce4e","","","","","","","","",""
"legacy-privacy-policy-2007","https://www.helpprogram.net/HELP%20Math%20Privacy%20Policy%203.12.07.pdf","https://www.helpprogram.net/HELP%20Math%20Privacy%20Policy%203.12.07.pdf","200","application/pdf","Thu, 20 Jun 2024 19:48:23 GMT","95498","2643744e9d5b6cd6986dac4fc854563aba0c04cc4f4ee95e410a521ffbad312c","2026-07-21T09:44:48.545Z","1","Historical privacy-policy and operator evidence before DNS cutover","","pending","pending","pending","objects/sha256/26/2643744e9d5b6cd6986dac4fc854563aba0c04cc4f4ee95e410a521ffbad312c","","pdfinfo (Poppler)","26.05.0","4","","","2013-10-04T15:05:11Z","2013-10-04T15:05:11Z",""
"codie-award-pdf","https://www.helpprogram.net/CODiE%20Award%20for%20Best%20Instructional%20Solution.pdf","https://www.helpprogram.net/CODiE%20Award%20for%20Best%20Instructional%20Solution.pdf","200","application/pdf","Thu, 20 Jun 2024 19:48:13 GMT","154210","c86088669188bd12701318336f2f94881011cd5f897cce36ad47a52439fa1a06","2026-07-21T09:44:48.963Z","1","Historical CODiE recognition","https://codieawards.com/past-winners","pending","pending","pending","objects/sha256/c8/c86088669188bd12701318336f2f94881011cd5f897cce36ad47a52439fa1a06","","pdfinfo (Poppler)","26.05.0","2","NEWS RELEASE","Alan","2009-05-12T17:06:15Z","2009-05-12T17:06:15Z",""
"codie-release-ddi","https://www.helpprogram.net/Codie%20Release%20DDI.pdf","https://www.helpprogram.net/Codie%20Release%20DDI.pdf","200","application/pdf","Thu, 20 Jun 2024 19:48:13 GMT","155045","cee62867e000f62320d9cbd7fd32a2c6c9a55449c9cca057fe64f0bf8b18d3bd","2026-07-21T09:44:48.988Z","1","Company-authored release about historical CODiE recognition","https://codieawards.com/past-winners","pending","pending","pending","objects/sha256/ce/cee62867e000f62320d9cbd7fd32a2c6c9a55449c9cca057fe64f0bf8b18d3bd","","pdfinfo (Poppler)","26.05.0","2","NEWS RELEASE","Alan","2009-03-05T16:17:47Z","2009-03-05T16:17:47Z",""
"evaluation-white-paper-2013","https://www.helpprogram.net/DealerDocs/HELP%20Math%20Evaluation%20White%20Paper%205-13.pdf","https://www.helpprogram.net/DealerDocs/HELP%20Math%20Evaluation%20White%20Paper%205-13.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","466340","a25923cbff8ce49fd36998cb1f296d325c8e03e37f4a39d09534891bd521f3fa","2026-07-21T09:44:49.555Z","1","Program-authored 42.1% versus 4.6% historical evaluation result | Program-authored Grade 6 and Grade 7 subgroup percentages","","pending","pending","pending","objects/sha256/a2/a25923cbff8ce49fd36998cb1f296d325c8e03e37f4a39d09534891bd521f3fa","","pdfinfo (Poppler)","26.05.0","16","Microsoft Word - 4838511F-1DC6-289F81.doc","www","2013-05-10T15:27:49-04","2013-05-10T15:27:49-04",""
"usdoe-research-summary-2013","https://www.helpprogram.net/DealerDocs/U%20S%20%20Department%20of%20Education%20Research%20Summary%205-2013.pdf","https://www.helpprogram.net/DealerDocs/U%20S%20%20Department%20of%20Education%20Research%20Summary%205-2013.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:26 GMT","452650","96b2ca0df34c9e6af5ec2160029fbaf02e16f4e111ada282225527f6ae7056c0","2026-07-21T09:44:49.469Z","1","Legacy marketing summary associated with the WWC-reviewed study","https://ies.ed.gov/ncee/wwc/Study/72999","pending","pending","pending","objects/sha256/96/96b2ca0df34c9e6af5ec2160029fbaf02e16f4e111ada282225527f6ae7056c0","","pdfinfo (Poppler)","26.05.0","6","A) Pre-test Raw Scores (baseline) – There were 17 questions on the pre-test","Freeman","2013-05-10T12:14:31-04","2013-05-10T12:14:31-04",""
